ORDERID,SOLDDATE,CUSTID,PRODID,PRODNAME,WEEKDAY,SITEBUSNAME,REGION,D_DAY_2_TEM,D_DAY_2_HUM,D_DAY_2_WIND,D_DAY_2_TEM_RAINAMOUNT,D_DAY_2_RAINHOUR,ORDER_QUANT,SOLD_QUANT
AE21030434,2021-03-07,2007400,SSA013035307,AE,목,삼표,풍납,6.6,58.5,2.2,0,0,532,1000
HR1021030423,2021-03-07,2001500,PEMA363048300,PEMA-HR1000,목,제일,홍성,5.5,65,0.9,0,0,5184,6000
HR1021030426,2021-03-07,2001600,PEMA093001100,PEMA-HR1000,목,동해,동해,8.1,62.1,2.1,0,0,10032,8000
HR1021030427,2021-03-07,2001700,PEMA093001100,PEMA-HR1000,목,동해,동해,8.1,62.1,2.1,0,0,1344,2000
HR1521030432,2021-03-07,2002800,PEMA053046500,PEMA-HR1500,목,신일,송파,6.6,58.5,2.2,0,0,6260,5000
580F21030422,2021-03-07,2007302,PEMA043090700,PEMA-580FX,목,삼영씨앤텍,양주,5.4,61.5,1.3,0,0,15696,15000
CSA521030420,2021-03-07,2007700,PEMA043069403,CSA5000,목,천마,홍성,5.5,65,0.9,0,0,8550,10000
SR2021030421,2021-03-07,2003200,PEMA043037801,PEMA-SR2000,목,서산,서산,4.6,68.5,1.3,0,0,2189,2000
SR3F21030402,2021-03-07,2003300,PEMA033109400,PEMA-SR3000F,목,보광,대구,9,64.8,2,0,0,5130,5000
CSA521030424,2021-03-07,2007800,PEMA033035307,CSA5000,목,삼표,풍납,6.6,58.5,2.2,0,0,4025,3000
CSA521030425,2021-03-07,2001102,PEMA033035307,CSA5000,목,삼표,풍납,6.6,58.5,2.2,0,0,3915,5000
HR1021030429,2021-03-07,2001800,PEMA033028900,PEMA-HR1000,목,보광,장동,5.5,65,0.9,0,0,8900,10000
HR1521030417,2021-03-07,2002500,PEMA033027400,PEMA-HR1500,목,미륭,부산,9.7,61.3,3,0,0,6853,10000
HR1521030418,2021-03-07,2002600,PEMA033002600,PEMA-HR1500,목,경동,부산,9.7,61.3,3,0,0,4351,5000
500F21030404,2021-03-07,2007100,PEMA023058600,PEMA-500FR,목,유진,강서,6.6,58.5,2.2,0,0,25295,23000
500F21030404,2021-03-07,2007200,PEMA023058600,PEMA-500FR,목,유진,강서,6.6,58.5,2.2,0,0,2621,2000
HR1021030440,2021-03-07,2002400,PEMA023041503,PEMA-HR1000,목,성진,천안,5,63.6,1.2,0,0,9776,10000
CSA521030439,2021-03-07,2001200,PEMA023039000,CSA5000,목,석문,당진,4.6,68.5,1.3,0,0,9200,10000
CSA521030415,2021-03-07,2007600,PEMA023035315,CSA5000,목,삼표,오산,5.3,69.6,1.7,0,0,6477,8000
HR1021030401,2021-03-07,2001300,PEMA013117801,PEMA-HR1000,목,에스피,경광주,6.2,62.3,1.5,0,0,7333,7000
SR2021030403,2021-03-07,2003100,PEMA013061400,PEMA-SR2000,목,장헌,당진,4.6,68.5,1.3,0,0,6420,5000
HR1021030438,2021-03-07,2002300,PEMA013050400,PEMA-HR1000,목,아주,광명,5.6,69.9,2.1,0,0,5090,7000
CSA421030431,2021-03-07,2007500,PEMA013046500,CSA4000,목,신일,송파,6.6,58.5,2.2,0,0,9090,10000
HR1521030428,2021-03-07,2002700,PEMA013041301,PEMA-HR1500,목,성원,단양,5.2,65.8,1.1,0,0,17334,15000
HR1021030435,2021-03-07,2002100,PEMA013037300,PEMA-HR1000,목,서보,평택,5.3,69.6,1.7,0,0,4048,5000
HR1021030436,2021-03-07,2002200,PEMA013037300,PEMA-HR1000,목,서보,평택,5.3,69.6,1.7,0,0,3402,5000
SR2021030503,2021-03-08,2004200,PEMA053062006,PEMA-SR2000,금,정선,남서울,8.8,61.8,1.8,0,0,6650,7000
SR3F21030518,2021-03-08,2004400,PEMA043072100,PEMA-SR3000F,금,태명,이천,7.5,61,0.9,0,0,5824,10000
CSA521030502,2021-03-08,2003500,PEMA033035303,CSA5000,금,삼표,성수,8.8,61.8,1.8,0,0,5645,8000
HR1021030515,2021-03-08,2003700,PEMA023109400,PEMA-HR1000,금,보광,대구,8.8,57.6,3.5,0,0,10010,10000
CSA521030517,2021-03-08,2003600,PEMA023076910,CSA5000,금,경동,대구,8.8,57.6,3.5,0,0,9504,10000
500F21030504,2021-03-08,2003400,PEMA023058600,PEMA-500FR,금,유진,강서,8.8,61.8,1.8,0,0,22638,21000
PR2021030513,2021-03-08,2004104,PEMA023024804,PEMA-PR2000,금,동진파일,서산,6.5,67.9,1.2,0,0,7084,10000
SR3F21030514,2021-03-08,2004300,PEMA023013000,PEMA-SR3000F,금,대동,대구,8.8,57.6,3.5,0,0,6240,5000
PR1021030512,2021-03-08,2004100,PEMA013901600,PEMA-PR1000,금,동양파일,함안,8.8,54.8,1.5,0,0,16560,15000
HR1521030501,2021-03-08,2003900,PEMA013120100,PEMA-HR1500,금,성우,영동,7.2,73.1,1.2,0,0,7700,10000
HR1021030516,2021-03-08,2003800,PEMA013119500,PEMA-HR1000,금,일진,횡성,7.8,51.9,0.7,0,0,10800,10000
HR1521030519,2021-03-08,2004000,PEMA013035322,PEMA-HR1500,금,삼표,부산,10.3,49.9,3.8,0,0,4166,7000
HR1521030727,2021-03-10,2006606,PEMA143057600,PEMA-HR1500,일,한국흄관,울산,9.4,95.8,3.1,29.4,20.28,10648,10000
PCMB21030704,2021-03-10,2006612,PEMA073061300,PEMA-PCM2000B,일,장원,남양주,9.5,65.5,1,1.5,0,3480,5000
PCM221030703,2021-03-10,2006609,PEMA063061300,PEMA-PCM2000,일,장원,남양주,9.5,65.5,1,1.5,0,4136,5000
SR2A21030715,2021-03-10,2007000,PEMA053048500,PEMA-SR2000A,일,쌍용,경광주,8.8,70.5,0.9,1.9,0,13824,10000
HR1521030725,2021-03-10,2006600,PEMA043023001,PEMA-HR1500,일,동양건재,김해,9.4,89.8,1.5,22,0,5236,8000
CSA521030721,2021-03-10,2005000,PEMA033109700,CSA5000,일,우진,경주,8.7,88.8,3.2,26.7,0,8736,10000
580F21030702,2021-03-10,2004500,PEMA033074100,PEMA-580FX,일,파워텍,음성,8.2,71,1.4,10.6,0,1496,2000
580F21030702,2021-03-10,2004600,PEMA033074100,PEMA-580FX,일,파워텍,음성,8.2,71,1.4,10.6,0,22977,23000
HR1021030711,2021-03-10,2005500,PEMA033041500,PEMA-HR1000,일,성진,동탄,9.4,70,1.4,0.2,493,9180,10000
SR3F21030706,2021-03-10,2007100,PEMA033023006,PEMA-SR3000F,일,동양,정관,10,86,3.8,23.4,16.72,3636,5000
PR2021030707,2021-03-10,2006900,PEMA023901510,PEMA-PR2000,일,동양파일,익산,8.7,84.8,1.2,8.1,0,10881,10000
CR1021030723,2021-03-10,2004700,PEMA023123000,PEMA-CR1000,일,신공항,인천,9.7,57.3,2.9,0,1.58,11160,10000
H5R1521030728,2021-03-10,2005100,PEMA023104400,PEMA-HR1500,일,대안,옥계,8.2,91.3,0.7,23.2,0,6264,9000
HR1021030726,2021-03-10,2006400,PEMA023024801,PEMA-HR1000,일,동진,수원,9.4,70,1.4,0.2,493,8712,8000
CSA521030716,2021-03-10,2004901,PEMA023024000,CSA5000,일,동원,옥천,8.3,88,1.3,12.2,17.42,8640,10000
CSA521030714,2021-03-10,2004800,PEMA023001000,CSA5000,일,강원,인천,9.7,57.3,2.9,0,1.58,6943,7000
